company_name,keywords,count
crest,"crest hd, crest pro-health advanced, crest pro-health, crest, crest whitestrips, whitestrips, crest 3d white whitestrips, crest sensi-stop strips, express whitestrips, whitestrips whiten",662
boehringer ingelheim,"pradaxa, spiriva respimat",643
cancer treatment centers of america,"cancer treatment centers of america, ctca",642
general electric,"ge, g.e., ge software",628
choice hotels,"badda boom, badda book, badda boom !, choicehotels.com, choice hotels",621
united states postal service,"united states postal service, united states postal, the united states postal service, us postal service, united states postal service priority, the united states postal, usps.com, u.s. postal",588
exxon mobil,"exxon, mobil, exxonmobil, exxon mobil",580
bank of america,"bank of america, merrill edge, bankamerideals",569
microsoft,"microsoft cloud, bing, cortana, microsoft, microsoft office",563
tempur-pedic,tempur-pedic,552
quincy bioscience,"prevagen, better life",529
johnson & johnson,"tylenol, xarelto, tremfya, tylenol arthritis, johnson & johnson",509
samsung,"samsung, samsung galaxy, samsung galaxy tab, samsung stratosphere, samsung galaxy s3, samsung galaxy camera",487
toyota,"toyota, lexus es, tacoma, corolla, lexus, toyota camry",485
centurylink,centurylink,479
campbell soup company,"prego, prego alfredo, campbels chunky",469
aflac,aflac,457
nature's bounty,osteo bi-flex,434
sony,sony,410
clorox,clorox,409
bristol-myers squibb,"orencia, opdivo",407
duracell,"duracell, duracell quantum, duracell slamtones",402
cigna,cigna,388
cvs health,"cvs health, cvs",380
kellogg company,kellogg,373
sears,"sears optical, sears, sears hometown store",373
carvana,carvana,370
fisher investments,fisher investments,368
gm,gm,358
transamerica corporation,transamerica,350
nestle,"boost high protein, nespresso, nestle, fancy feast broths, be stouffer 's mac & cheese, new friskies plus, high protein nutritional drink",350
eggland's best,"eggland, eggland 's best",343
finra,brokercheck,340
voya financial,voya,332
adt,adt,331
the hartford,hartford,330
hertz,"hertz, hertz gold plus rewards",324
volvo,volvo,321
siemens,siemens,315
goldman sachs,goldman sachs,312
pnc bank,"pnc, pnc investments",306
la quinta by wyndham,"la quinta, la quinta inns & suites, laquinta, lq.com, la quinta inns",305
reuters,"reuters, lipper",301
bp,"bp, lightsource",287
kraft heinz company,"gevalia, kraft, heinz, oscar mayer, oscar mayer deli fresh, nabisco, oscar mayer deli fresh your, oscar mayer front yard cookout",275
carfax,carfax,274
simmons bedding company,"beautyrest, beautyrest pocketed coils, beautyrest recharge sleep system, serta icomfort, beautyrest black, serta",273
fiat chrysler automobiles,"chrysler, fiat, fiat chrysler, chrysler pacifica, dodge power dollars, pacifica limited",270
custom ink,custom ink,268
university of pittsburgh medical center,upmc,264
red lobster,"red lobster, new colossal shrimp & salmon, new cedar-plank lobster & shrimp",264
polaris industries,polaris,263
scotts miracle-gro,scotts,262
office depot,"office depot officemax, office depot office max, officemax, office depot & officemax, office depot, maxperks",256
brightstar care,brightstar care,249
amtrak,amtrak,247
edward jones investments,edward jones,246
sealy,"posturepedic, sealy, stearns & foster",243
prudential financial,prudential,242
matrixx initiatives,zicam,241
transitions optical,transitions signature,240
applebee's,"applebee, applebee 's, applebee 's new loaded chicken fajitas, applebee 's new sizzlin, cent boneless wings, bolder grill combos",235
ibm,ibm,228
general mills,"green giant, honey nut cheerios, progresso, cheerios, pillsbury, multigrain cheerios",227
american advisors group,aag,219
healthmarkets,healthmarkets,219
lendingtree,"lendingtree, lendingtree.com",219
amd,amd,216
aspen dental,"aspen dental, aspen",212
xerox,xerox,211
amway,amway,206
yum! brands,"yum, kfc",206
honda,honda,200
the coca-cola company,"coca-cola, truvia, coca cola, coke",195
sprint,sprint,195
amplifon,miracle-ear,184
lg corporation,lg,181
mcdonald's,"mcdonald, mcdonalds",180
delta,delta,178
kohler,kohler,174
univision communications,univision,172
mitsubishi,mitsubishi,171
t-mobile,t-mobile,165
avanir pharmaceuticals,nuedexta,163
wells fargo,wells fargo,163
conagra brands,reddi-wip,156
tommie copper,tommie copper,152
the home depot,the home depot,150
blackberry,blackberry,141
essilor,"essilor, varilux, crizal, xperio uv",137
massachusetts mutual,massmutual,134
leesa mattress,leesa mattress,133
walgreens,"walgreens, walgreen, corner of happy and healthy, medicare part d, med d. walgreens",130
avon products,avon,129
reckitt benckiser,"mucinex dm, mucinex, lysol",128
csx,csx,126
tripadvisor,tripadvisor,125
midas,midas,125
aviva,aviva,125
helzberg diamonds,helzberg diamonds,121
ortho,"ortho home defense max, new ortho home defense max",120
pepsico,pepsi,119
truecar,truecar,117
pacific life,pacific life,116
costco,costco,115
chick-fil-a,chick-fil-a,114
bny mellon,bny mellon wealth management,112
tesla,tesla,111
tyco international,tyco integrated security,108
moody's corporation,moody 's,107
legacybox,"legacybox, nick -rsb- legacybox",107
nationwide insurance,nationwide insurance,103
bain & company,bain,102
hilton,"hilton, hilton price match guarantee, hampton.com, hilton app, hilton.com",98
nordstrom,nordstrom,97
devry university,devry university,97
airbus,airbus,95
gnc,gnc,95
aetna,aetna,92
sofi,sofi,92
dexcom,dexcom,92
nfl,nfl mobile,90
devon energy,devon,89
fico,fico,85
norton,norton,85
ikea,ikea,83
husqvarna,husqvarna,83
cisco,cisco,83
chevron,chevron,82
tracfone,"tracfone, tracfone wireless",82
farmers insurance group,farmers,79
fidelity investments,fidelity,78
zoetis,simparica trio,78
huidarts,stelara,76
chico's,"chico 's and chicos.com, chico 's leggings",75
trugreen,trugreen,71
aig,aig,70
asiana airlines,asiana,69
htc,htc,69
lincoln,"lincoln mkx, lincoln mkc, lincoln mkz, lincoln summer invitation",68
nokia,nokia lumia,65
etrade,etrade,62
hearusa,hearusa,61
transunion,"transunion.com, transunion",61
jackson hewitt,jackson hewitt,61
amazon,"audible originals, audible, download audible",58
american express,plenti,56
janssen pharmaceuticals,invokana,55
darden restaurants,olive garden,55
hoveround,hoveround,54
caterpillar,caterpillar,54
the rockport group,rockport,53
ford,"ford service credit card, ford service credit credit card, ford escape, ford edge",52
intuit,"intuit quickbooks, quickbooks.com smallbusinesshelp intuit quickbooks",52
oracle,"oracle, netsuite",51
masco corporation,behr ultra,49
merrill lynch,"merrill, merrill lynch",49
priceline,priceline,49
bass pro shops,"bass pro shops, natural reflections ladies ' cozy socks",48
viacom,"nickelodeon, viacom",48
blackrock,blackrock,48
sirius xm holdings,sirius,47
quicken loans,quicken loans,45
jpmorgan chase,"jpmorgan, j.p. morgan, jp morgan",45
sargento,"sargento balanced breaks, sargento sweet balanced breaks",45
sonova,phonak,44
lupin,latisse,41
staples,staples,41
ubs,ubs,40
opentable,opentable,40
alamo,alamo,39
kmart,kmart,38
adp,adp,38
panera bread,"panera bread, panera",37
hyundai,hyundai,37
lockheed martin,lockheed martin,37
optum,optum,37
united rentals,united rentals,37
experian,"experian credit tracker, at experian.com, experian",36
experian,"experian credit tracker, at experian.com, experian",36
experian,"experian credit tracker, at experian.com, experian",36
experian,"experian credit tracker, at experian.com, experian",36
cars.com,"cars.com, cars.com research",36
napa,napa,35
kia,kia,35
baesystems,bae,35
grant thornton,grant thornton,35
mozilla,mozilla,34
ebates,ebates,34
american airlines,"american airlines, american airline",34
equifax,equifax,33
zynga,farmville,33
zelle,zelle,33
sunsweet growers,sunsweet,33
norfolk southern,norfolk southern,33
northrop grumman,northrop grumman,31
exact sciences corporation,cologuard,31
lufthansa,lufthansa,30
dunkin brands,dunkin,30
navy federal credit union,navy federal credit union,30
hotwire,hotwire,29
dyson,dyson,29
epson,epson,27
coleman,coleman,27
discovery inc,hgtv,27
bissell,bissell,27
royal dutch shell,pennzoil,26
berkshire hathaway,berkshire hathaway,26
nintendo,nintendo,26
yahoo,yahoo,26
halliburton,halliburton,25
mastercard,mastercard,25
wayfair,wayfair,25
capital one,venture card,24
metlife,metlife,24
amc,amc,24
dhl,dhl,23
atkins,atkins,23
splenda,splenda naturals,23
j.c. penney,j.c. penney,22
ally financial,ally bank,22
match,match.com,22
mazda,mazda,22
ziprecruiter,ziprecruiter,21
mattel,mattel,21
hsbc,hsbc,21
sap,sap,19
chipotle,chipotle,19
bentley,bentley,19
carrabba's,carrabba 's,18
oxiclean,oxiclean,18
monsanto,monsanto,18
alcoa,alcoa,18
old navy,old navy,18
heineken,heineken,17
pandora,pandora,17
safeway,safeway,17
the boston beer company,samuel adams,17
airasia,airasia,17
velcro,velcro,16
ymca,ymca,16
aderans,"hair club, hairclub",16
barnes & noble,barnes & noble,16
kyocera,kyocera duracore,15
hasbro,hasbro,15
prestige consumer healthcare,little fleet,15
general motors,gm financial,15
booz allen hamilton,booz allen,15
keurig,keurig,14
mcafee,mcafee,14
blue cross blue shield association,blue cross blue shield,14
armor all,armor all original protectant,14
google,pixel phone,14
shire,xiidra,13
molson coors,coors,13
michelin,michelin,13
barclays,barclays,13
mylan,mylan,12
post consumer brands,medifacts for post shredded wheat,12
land o frost,frost premium,12
orbitz,orbitz,12
the blackstone group,blackstone,12
petco,petco,12
cintas,cintas,12
cabela's,cabela 's,12
adidas,adidas,12
u.s. bank,us bank,11
kaiser permanente,kaiser permanente,11
thrivent financial,thrivent mutual funds,11
tiaa,tiaa,11
air canada,air canada,11
3m,3m,10
reebok,reebok,10
colgate palmolive,colgate,10
goodyear,goodyear,10
ben & jerry's,ben & jerry 's,10
oakley,oakley,10
whirlpool corporation,whirlpool,10
abercrombie,abercrombie,10
taco bell,taco bell,10
visionworks,visionworks,9
shriners hospitals for children,shriners hospitals for children,7
ameriprise financial,ameriprise,7
raytheon,raytheon,7
booking.com,booking.com,6
emirates,emirates,6
golo,golo,5
dell,"dell small business technology advisors, dell technologies advisor",5
union pacific,union pacific,5
life line screening,power of prevention,5
boys and girls clubs of america,girls clubs of america,4
ancestry,"at ancestry.com, ancestry.com, ancestry",4
schiff vitamins,neuriva,3
alzheimer's association,"alz.org walk, alzheimer 's association walk",3
babbel,babbel,2
togo's,togo,2
logitech,logitech,2
penske,penske,2
ship sticks,shipsticks.com,2
it cosmetics,cc cream,2
bosley,bosley,1
lincoln financial,lincolnfinancial.com,1
petsmart,petsmart.com,1
rosland capital,rosland capital,1
tesco,tesco,1
